corpus,intcode,segment,prt_wd,cld_wd,kwd_wd,speakers,subjects,relations,objects,texts,AEO_cat,full_name,URL,speaker_image_in_drive? (Yes/No),context(timestamp),context (segment_number),Notes
Shoah,102,17,disc,discriminatory measures,anti Jewish measures,ZF,the government,right away ordered,a curfew,They also ordered -- the government right away ordered a curfew.,Agency_Active,Zoltan Friedmann,https://vhaonline.usc.edu/viewingPage?testimonyID=1332&returnIndex=0# ,Yes,,,
Shoah,102,17,disc,discriminatory measures,anti Jewish measures,ZF,they,ordered,us to wear a yellow star on our chest a yellow armband on our arm,"They, they ordered us to wear a yellow star on our chest and a yellow armband on our arm, as to be distinguished from the rest of the population.",Agency_Active,Zoltan Friedmann,https://vhaonline.usc.edu/viewingPage?testimonyID=1332&returnIndex=0# ,Yes,,,
Shoah,102,17,disc,discriminatory measures,anti Jewish measures,ZF,We,had to turn,in all valuables jewelry fur coats telephones radios,"We had to turn in all valuables, jewelry, fur coats, telephones, radios, if there were any.",Agency_Coercion/Necessity,Zoltan Friedmann,https://vhaonline.usc.edu/viewingPage?testimonyID=1332&returnIndex=0# ,Yes,,,
Shoah,188,16,disc,discriminatory measures,Jewish property attacks,ES,I,remember,a rock coming into the bedroom more or less shearing right by my head,And I remember a rock coming into the bedroom and more or less shearing right by my head.,Orientation,Emilie Stern,https://vhaonline.usc.edu/viewingPage?testimonyID=293&returnIndex=0# ,Yes,,,
Shoah,210,12,disc,discriminatory measures,anti Jewish measures,SB,a ordinance that you,had to give,up all the gold,"We had to, let's say, there came a -- a ordinance that you had to give up all the gold.",Agency_Coercion/Necessity,Sonia Berson,https://vhaonline.usc.edu/viewingPage?testimonyID=1235&returnIndex=0# ,Yes,,,
Shoah,210,12,disc,discriminatory measures,anti Jewish measures,SB,if you,had,"any valuables silver fur coats[,] everything you had to give up","If you -- if you had any valuables, or silver whatever, or fur coats whatever, they -- everything they had to -- you had to give up, bring to a certain place.",Orientation,Sonia Berson,https://vhaonline.usc.edu/viewingPage?testimonyID=1235&returnIndex=0# ,Yes,,,
Shoah,210,12,disc,discriminatory measures,anti Jewish measures,SB,my grandparents,had to give,up the apartment,"And my -- after a while, my grandparents had to give up the apartment, because there was a German owner, and he took it back.",Agency_Coercion/Necessity,Sonia Berson,https://vhaonline.usc.edu/viewingPage?testimonyID=1235&returnIndex=0# ,Yes,,,
Shoah,210,12,disc,discriminatory measures,anti Jewish measures,SB,we,had,no place to live,And the Jewish -- so we had no place to live.,Orientation,Sonia Berson,https://vhaonline.usc.edu/viewingPage?testimonyID=1235&returnIndex=0# ,Yes,,,
Shoah,294,12,disc,discriminatory measures,anti Jewish measures,LP,We,could not walk,on that street,We couldn't walk on that street anymore.,Agency_Speculative/Modal,Ludmila Page,https://vhaonline.usc.edu/viewingPage?testimonyID=822&returnIndex=0# ,Yes,,,
Shoah,294,12,disc,discriminatory measures,anti Jewish measures,LP,we,had,some back exits you know,"We -- we -- luckily, we had some back exits, you know?",Orientation,Ludmila Page,https://vhaonline.usc.edu/viewingPage?testimonyID=822&returnIndex=0# ,Yes,,,
Shoah,294,12,disc,discriminatory measures,anti Jewish measures,LP,we,had to go,almost around the whole city,"And we -- in order to go on the other side of the street, we had to go almost around the whole city.",Agency_Coercion/Necessity,Ludmila Page,https://vhaonline.usc.edu/viewingPage?testimonyID=822&returnIndex=0# ,Yes,,,
Shoah,294,12,disc,discriminatory measures,anti Jewish measures,LP,We,had to wear,the yellow armbands,We had to wear the yellow armbands -- excuse me.,Agency_Coercion/Necessity,Ludmila Page,https://vhaonline.usc.edu/viewingPage?testimonyID=822&returnIndex=0# ,Yes,,,
Shoah,311,26,disc,discriminatory measures,Jewish property attacks,AJ,they,broke,a few windows you know in the stores,"Yes, I remember, you know, they -- they broke a few windows, you know, in the stores, but they hardly came out alive, you know?",Agency_Active,Abraham Jachzel,https://vhaonline.usc.edu/viewingPage?testimonyID=11&returnIndex=0,Yes,,,
Shoah,363,31,disc,discriminatory measures,anti Jewish measures,ES,we,had to leave,our apartment,"And soon after we had -- started to wear the stars, we had to leave our apartment, because certain apartments in the city became eligible for Jewish people to live.",Agency_Coercion/Necessity,Eva Stiasny,https://vhaonline.usc.edu/viewingPage?testimonyID=368&returnIndex=0# ,Yes,,,
Shoah,365,33,disc,discriminatory measures,anti Jewish measures,RZ,the Jew,was identified,by means of wearing a white arm band,And the Jew was identified by means of wearing a white arm band with a blue Star of David on it.,Agency_Passive,Roman Ziegler,https://vhaonline.usc.edu/viewingPage?testimonyID=1126&returnIndex=0# ,Yes,,,
Shoah,422,38,disc,discriminatory measures,anti Jewish measures,RM,they,forbid,children to go to school,We couldn't -- we -- they forbid children to go to school.,Agency_Active,Rose Minsky,https://vhaonline.usc.edu/viewingPage?testimonyID=1144&returnIndex=0# ,Yes,,,
Shoah,422,38,disc,discriminatory measures,anti Jewish measures,RM,They,could not go,to school,They couldn't go to school no more.,Agency_Speculative/Modal,Rose Minsky,https://vhaonline.usc.edu/viewingPage?testimonyID=1144&returnIndex=0# ,Yes,,,
Shoah,422,38,disc,discriminatory measures,anti Jewish measures,RM,We,could not go,to movies to theaters,"We couldn't go to movies, to theaters.",Agency_Speculative/Modal,Rose Minsky,https://vhaonline.usc.edu/viewingPage?testimonyID=1144&returnIndex=0# ,Yes,,,
Shoah,422,38,disc,discriminatory measures,anti Jewish measures,RM,we,had to wear,right away armbands with the Jewish star,"Of course, on the -- we had to wear right away armbands with the Jewish star.",Agency_Coercion/Necessity,Rose Minsky,https://vhaonline.usc.edu/viewingPage?testimonyID=1144&returnIndex=0# ,Yes,,,
Shoah,422,38,disc,discriminatory measures,anti Jewish measures,RM,a child from 12 years,had to wear,an armband,"Up from12 years, a child from12 years had to wear an armband.",Agency_Coercion/Necessity,Rose Minsky,https://vhaonline.usc.edu/viewingPage?testimonyID=1144&returnIndex=0# ,Yes,,,
Shoah,422,38,disc,discriminatory measures,anti Jewish measures,RM,it,should be,visible that he is a Jew for them,To make them -- to -- not -- to -- they should -- it should be visible that he is a Jew for them.,Agency_Speculative/Modal,Rose Minsky,https://vhaonline.usc.edu/viewingPage?testimonyID=1144&returnIndex=0# ,Yes,,,
Shoah,422,38,disc,discriminatory measures,anti Jewish measures,RM,We,had to clean,up […] the toilets,We had to clean up the toil -- the toilets over there.,Agency_Coercion/Necessity,Rose Minsky,https://vhaonline.usc.edu/viewingPage?testimonyID=1144&returnIndex=0# ,Yes,,,
Shoah,717,33,disc,discriminatory measures,anti Jewish measures,JL,we,saw there were,placards announcements what we supposed to do,"Every day, we went down the street, and we saw there were placards, announcements, what we supposed to do.",Agency_Passive,Jack Lewin,https://vhaonline.usc.edu/viewingPage?testimonyID=629&returnIndex=0# ,Yes,,,
Shoah,717,33,disc,discriminatory measures,anti Jewish measures,JL,it,was all mostly was,for the Jews the restrictions,"And of course, it was all mostly was for the Jews, the restrictions.",Agency_Passive,Jack Lewin,https://vhaonline.usc.edu/viewingPage?testimonyID=629&returnIndex=0# ,Yes,,,
Shoah,717,33,disc,discriminatory measures,anti Jewish measures,JL,first one,were,the armbands,"The first one -- I don't remember chronologically what was first, but I think the very first one were the armbands.",Orientation,Jack Lewin,https://vhaonline.usc.edu/viewingPage?testimonyID=629&returnIndex=0# ,Yes,,,
Shoah,717,33,disc,discriminatory measures,anti Jewish measures,JL,we,wore,yellow armbands,"In the beginning, we wore yellow armbands.",Agency_Active,Jack Lewin,https://vhaonline.usc.edu/viewingPage?testimonyID=629&returnIndex=0# ,Yes,,,
Shoah,717,33,disc,discriminatory measures,anti Jewish measures,JL,you,had to get,off the pavement,"Then you were supposed to, when you, when you walked on the street, on the pavement, a German walked towards you, you had to get off the pavement.",Agency_Coercion/Necessity,Jack Lewin,https://vhaonline.usc.edu/viewingPage?testimonyID=629&returnIndex=0# ,Yes,,,
Shoah,717,33,disc,discriminatory measures,anti Jewish measures,JL,You,had to take,off your hat,You had to take off your hat.,Agency_Coercion/Necessity,Jack Lewin,https://vhaonline.usc.edu/viewingPage?testimonyID=629&returnIndex=0# ,Yes,,,
Shoah,717,33,disc,discriminatory measures,anti Jewish measures,JL,They,were taking,away the radios,"They were taking away the radios, people that had radios, furs, jewelry.",Agency_Active,Jack Lewin,https://vhaonline.usc.edu/viewingPage?testimonyID=629&returnIndex=0# ,Yes,,,
Shoah,734,47,disc,discriminatory measures,anti Jewish measures,BG,you,had to have,it on your outer garment at all the time,And you had to have it on your outer garment at all the time.,Agency_Coercion/Necessity,Bernard Gotfryd,https://vhaonline.usc.edu/viewingPage?testimonyID=142&returnIndex=0#,Yes,,,
Shoah,734,47,disc,discriminatory measures,anti Jewish measures,BG,a point where you,had to get,off the sidewalk when you encountered a German in uniform,"But you can simply take it for granted that anything -- they did away with everything that would be of benefit to us, no matter what, little, stupid items, to a point where you had to get off the sidewalk when you encountered a German in uniform -- tip your cap, take off your hat, get off the sidewalk, walk around them.",Agency_Coercion/Necessity,Bernard Gotfryd,https://vhaonline.usc.edu/viewingPage?testimonyID=142&returnIndex=0##,Yes,,,
Shoah,734,47,disc,discriminatory measures,anti Jewish measures,BG,you,could not own,a bicycle,No transportation for Jews -- you could not own a bicycle.,Agency_Speculative/Modal,Bernard Gotfryd,https://vhaonline.usc.edu/viewingPage?testimonyID=142&returnIndex=0#,Yes,,,
Shoah,747,17,disc,discriminatory measures,anti Jewish measures,JR,the high universities,were closed,for Jewish kids,There was a restriction on -- they called it numerus clausus -- where the high universities were closed for Jewish kids.,Agency_Passive,Judith Rubinstein,https://vhaonline.usc.edu/viewingPage?testimonyID=713&returnIndex=0#,Yes,,,
Shoah,787,44,disc,discriminatory measures,anti Jewish measures,HL,they,destroyed,synagogues,And -- and so they -- they destroyed synagogues there.,Agency_Active,Herman Landau,https://vhaonline.usc.edu/viewingPage?testimonyID=568&returnIndex=0# ,Yes,,,
Shoah,787,44,disc,discriminatory measures,anti Jewish measures,HL,you,see,the remnants of the synagogues,"Did you see the remnants of the -- Of the synagogues, yeah.",Agency_Active,Herman Landau,https://vhaonline.usc.edu/viewingPage?testimonyID=568&returnIndex=0# ,Yes,,,
Shoah,802,32,disc,personal prejudice,antisemitism,FA,The processions,used to produce,a lot of anti- Semitic activity,The processions used to produce a lot of anti- Semitic activity.,Agency_Active,Frieda Aaron,https://vhaonline.usc.edu/viewingPage?testimonyID=413&returnIndex=0# ,Yes,,,
Shoah,802,44,disc,discriminatory measures,anti Jewish measures,FA,we,had to give,up our treasured possessions such as jewelry,"And then, we had to give up our treasured possessions, such as jewelry.",Agency_Coercion/Necessity,Frieda Aaron,https://vhaonline.usc.edu/viewingPage?testimonyID=413&returnIndex=0# ,Yes,,,
Shoah,802,44,disc,discriminatory measures,anti Jewish measures,FA,We,had to carry,"our books under our coats because if we are caught[,] we would have been shot on the spot","We had to carry our books under our coats, because if we're caught, we would have been shot on the spot.",Agency_Coercion/Necessity,Frieda Aaron,https://vhaonline.usc.edu/viewingPage?testimonyID=413&returnIndex=0# ,Yes,,,
Shoah,830,10,disc,discriminatory measures,anti Jewish measures,JG,a law,came,out that Jews can not have front stores,"After that, a law came out that Jews cannot -- cannot have front stores.",Agency_Active,Joseph Garay,https://vhaonline.usc.edu/viewingPage?testimonyID=689&returnIndex=0,Yes,,,
Shoah,868,19,disc,discriminatory measures,anti Jewish measures,LG,First you,had to register,that you were Jewish,First you had to register that you were Jewish.,Agency_Coercion/Necessity,Louis Goldman,https://vhaonline.usc.edu/viewingPage?testimonyID=813&returnIndex=0,Yes,,,
Shoah,942,23,disc,personal prejudice,school antisemitism,ME,my father 's business,was taken,away from him,"And the first thing happened that -- within six months, my father's business was taken away from him.",Agency_Passive,Max Eisen,https://vhaonline.usc.edu/viewingPage?testimonyID=899&returnIndex=0,Yes,,,
Shoah,942,23,disc,personal prejudice,school antisemitism,ME,Jewish people,could not sell,any spirits,Jewish people could not sell any spirits.,Agency_Speculative/Modal,Max Eisen,https://vhaonline.usc.edu/viewingPage?testimonyID=899&returnIndex=0,Yes,,,
Shoah,942,23,disc,personal prejudice,school antisemitism,ME,his business,was taken,away without any compensation,And his business was taken away without any compensation.,Agency_Passive,Max Eisen,https://vhaonline.usc.edu/viewingPage?testimonyID=899&returnIndex=0,Yes,,,
Shoah,942,23,disc,personal prejudice,school antisemitism,ME,Jewish people,could not sell,any tobacco products,And Jewish people could not sell any tobacco products.,Agency_Speculative/Modal,Max Eisen,https://vhaonline.usc.edu/viewingPage?testimonyID=899&returnIndex=0,Yes,,,
Shoah,942,23,disc,personal prejudice,school antisemitism,ME,Jewish people,could not employ,any Gentiles,And Jewish people could not employ any Gentiles.,Agency_Speculative/Modal,Max Eisen,https://vhaonline.usc.edu/viewingPage?testimonyID=899&returnIndex=0,Yes,,,
Shoah,942,23,disc,personal prejudice,school antisemitism,ME,we,had to hand,in this crystal radio,And we had to hand in this crystal radio.,Agency_Coercion/Necessity,Max Eisen,https://vhaonline.usc.edu/viewingPage?testimonyID=899&returnIndex=0,Yes,,,
Shoah,942,23,disc,personal prejudice,school antisemitism,ME,Jewish kids,had to sit,in the back of the class,"When we went to school, you know, there were fights with other kids, and Jewish kids had to sit in the back of the class.",Agency_Coercion/Necessity,Max Eisen,https://vhaonline.usc.edu/viewingPage?testimonyID=899&returnIndex=0,Yes,,,
Shoah,1062,47,disc,discriminatory measures,anti Jewish measures,JR,a law that all the Jews,had to wear,a yellow star,"But the problem was that right away, they gave out a law that all the Jews had to wear a yellow star.",Agency_Coercion/Necessity,Jack Rosenthal,https://vhaonline.usc.edu/viewingPage?testimonyID=635&returnIndex=0,Yes,,,
Shoah,1062,47,disc,discriminatory measures,anti Jewish measures,JR,you,could not go,any place because you were subject to arrest and worse,"And if you didn't have the yellow star on, you couldn't -- you couldn't go any place because you were subject to arrest and worse.",Agency_Speculative/Modal,Jack Rosenthal,https://vhaonline.usc.edu/viewingPage?testimonyID=635&returnIndex=0,Yes,,,
Shoah,1062,47,disc,discriminatory measures,anti Jewish measures,JR,then a law,came,out that no Jew is allowed to go out on the street everybody had to go back home,"But then a law came out that no Jew is allowed to go out on the street, everybody had to go back home.",Orientation,Jack Rosenthal,https://vhaonline.usc.edu/viewingPage?testimonyID=635&returnIndex=0,Yes,,,
Shoah,1089,7,disc,discriminatory measures,anti Jewish measures,JG,We,first give,up our radios our furs our jewelry,"We to first give up our radios, our furs, our jewelry.",Agency_Active,Jana Gottshall,https://vhaonline.usc.edu/viewingPage?testimonyID=646&returnIndex=0,Yes,,,
Shoah,1160,170,disc,personal prejudice,antisemitism,IR,You,killed,Jesus,You killed Jesus.,Agency_Active,Ilona Roberts,https://vhaonline.usc.edu/viewingPage?testimonyID=592&returnIndex=0,Yes,,,
Shoah,1169,41,disc,discriminatory measures,anti Jewish measures,JJ,every Jew,had to wear,a yellow star,"Second, every Jew had to wear a yellow star.",Agency_Coercion/Necessity,Jacob Jungreis,https://vhaonline.usc.edu/viewingPage?testimonyID=638&returnIndex=0,Yes,,,
Shoah,1169,41,disc,discriminatory measures,anti Jewish measures,JJ,they,built,a concrete wall around our neighborhood,And they built a concrete wall around our neighborhood.,Agency_Active,Jacob Jungreis,https://vhaonline.usc.edu/viewingPage?testimonyID=638&returnIndex=0,Yes,,,
Shoah,1183,10,disc,discriminatory measures,anti Jewish measures,LB,We,were issued,with a yellow David Star,We were issued with a yellow David Star.,Agency_Passive,Leny Bromet,https://vhaonline.usc.edu/viewingPage?testimonyID=752&returnIndex=0,Yes,,,
Shoah,1183,10,disc,discriminatory measures,anti Jewish measures,LB,we,had to wear,our stars,"And we had to wear our stars, the whole population of the Dutch population wore the star at solidarity with us.",Agency_Coercion/Necessity,Leny Bromet,https://vhaonline.usc.edu/viewingPage?testimonyID=752&returnIndex=0,Yes,,,
Shoah,1183,10,disc,discriminatory measures,anti Jewish measures,LB,public schools,were closed,for the Jews,"So then there was also that all the public schools, high school and public schools were closed for the Jews.",Agency_Passive,Leny Bromet,https://vhaonline.usc.edu/viewingPage?testimonyID=752&returnIndex=0,Yes,,,
Shoah,1183,10,disc,discriminatory measures,anti Jewish measures,LB,We,had to go,to a separate Jewish high school,We had to go to a separate Jewish high school.,Agency_Coercion/Necessity,Leny Bromet,https://vhaonline.usc.edu/viewingPage?testimonyID=752&returnIndex=0,Yes,,,
Shoah,1230,24,disc,discriminatory measures,anti Jewish measures,HP,We,could shop,only certain days certain hours,"We could shop only certain days, certain hours.",Agency_Speculative/Modal,Hana Posin,https://vhaonline.usc.edu/viewingPage?testimonyID=490&returnIndex=0,Yes,,,
Shoah,1230,24,disc,discriminatory measures,anti Jewish measures,HP,We,could not use,the transportation the electric tramways only in the back in the second standing,"We could not use the transportation, the electric tramways, only in the back, in the second -- second standing.",Agency_Speculative/Modal,Hana Posin,https://vhaonline.usc.edu/viewingPage?testimonyID=490&returnIndex=0,Yes,,,
Shoah,1320,28,disc,discriminatory measures,anti Jewish measures,VS,A Jew,had to be between ,8 00 evening to 8 00 morning in the site where he was registered,"A Jew had to be between8:00 and8:00,8:00 evening to8:00 morning, in the site where he was registered.",Agency_Coercion/Necessity,Vera Schiff,https://vhaonline.usc.edu/viewingPage?testimonyID=1290&returnIndex=0,Yes,,,
Shoah,1320,28,disc,discriminatory measures,anti Jewish measures,VS,the Jews,were then stamped,a capital J into their identity cards J for Jude Jew,"But the Jews were then stamped a capital J into their identity cards, J for Jude, Jew.",Agency_Passive,Vera Schiff,https://vhaonline.usc.edu/viewingPage?testimonyID=1290&returnIndex=0,Yes,,,
Shoah,1320,28,disc,discriminatory measures,anti Jewish measures,VS,we,could not use,trains,"Then we couldn't -- well, we couldn't use trains.",Agency_Speculative/Modal,Vera Schiff,https://vhaonline.usc.edu/viewingPage?testimonyID=1290&returnIndex=0,Yes,,,
Shoah,1320,28,disc,discriminatory measures,anti Jewish measures,VS,we,had to deliver,in sequence first all the radios then jewelry valuables collections of stamps coins whatever assets we had,"We could -- we had to deliver in sequence first all the radios, then jewelery, valuables, collections of stamps, coins, whatever assets we had.",Agency_Coercion/Necessity,Vera Schiff,https://vhaonline.usc.edu/viewingPage?testimonyID=1290&returnIndex=0,Yes,,,
Shoah,1320,34,disc,discriminatory measures,anti Jewish educational exclusions,VS,more stores in Prague,got,these labels Jews and dogs are not wanted,"And more and more stores in Prague got these labels, Jews and dogs aren't wanted.",Agency_Active,Vera Schiff,https://vhaonline.usc.edu/viewingPage?testimonyID=1290&returnIndex=0,Yes,,,
Shoah,1320,34,disc,discriminatory measures,anti Jewish educational exclusions,VS,we,were informed,that we are expelled from schools all Jewish students regardless of age ,"So now, then, by the end of the school year, we were informed that we are expelled from schools -- all Jewish students, regardless of age, and stage -- or station of their education, had no longer eligibility to attend schools with the rest of the population.",Agency_Passive,Vera Schiff,https://vhaonline.usc.edu/viewingPage?testimonyID=1290&returnIndex=0,Yes,,,
Shoah,1327,9,disc,discriminatory measures,anti Jewish measures,LW,the Jewish owner,was kicked,out without any restitution without any excuse,"And after about six months, when they learned the trade of the business, the Jewish owner was kicked out without any restitution, without any excuse.",Agency_Passive,Lotte Weiss,https://vhaonline.usc.edu/viewingPage?testimonyID=811&returnIndex=0,Yes,,,
Shoah,1391,6,disc,personal prejudice,antisemitism,AS,Jews,have to go,in the middle in the street not on the sidewalk,"Jews have to go in the middle in the street, not on the sidewalk.",Agency_Coercion/Necessity,Adam Schwartz,https://vhaonline.usc.edu/viewingPage?testimonyID=1477&returnIndex=0,Yes,,,
Shoah,1400,12,disc,personal prejudice,antisemitism,LA,they,took,away his license,"And in1939, when the Hungarian Nazis were strong enough and they took over that part of Czechoslovakia, they took away his license.",Agency_Active,Leslie Aigner,https://vhaonline.usc.edu/viewingPage?testimonyID=1388&returnIndex=0,Yes,,,
Shoah,1400,12,disc,personal prejudice,antisemitism,LA,Jewish people,could not have,businesses,Jewish people could not have businesses.,Agency_Speculative/Modal,Leslie Aigner,https://vhaonline.usc.edu/viewingPage?testimonyID=1388&returnIndex=0,Yes,,,
Shoah,1400,12,disc,personal prejudice,antisemitism,LA,we,had to move,out of town,"So we had to move out of town and he moved outskirts of Budapest, a small town just10 kilometer from Budapest, Csepel.",Agency_Coercion/Necessity,Leslie Aigner,https://vhaonline.usc.edu/viewingPage?testimonyID=1388&returnIndex=0,Yes,,,
Shoah,1400,24,disc,discriminatory measures,anti Jewish measures,LA,We,had to start wearing,the yellow star,We had to start wearing the yellow star.,Agency_Coercion/Necessity,Leslie Aigner,https://vhaonline.usc.edu/viewingPage?testimonyID=1388&returnIndex=0,Yes,,,
Shoah,1400,110,disc,personal prejudice,school antisemitism,EVA AIGNER,We,were told,that the Jews no longer can say the [national] prayers with the rest of the class,We were told that the Jews no longer can say the prayers with the rest of the class.,Orientation,Leslie Aigner,https://vhaonline.usc.edu/viewingPage?testimonyID=1388&returnIndex=0,Yes,,,
Shoah,1473,8,disc,personal prejudice,school antisemitism,RK,I,remember,the jeers the catcalls the anti- Semitic remarks,"And I remember the jeers, the catcalls, the anti- Semitic remarks.",Orientation,Ruth Keller,https://vhaonline.usc.edu/viewingPage?testimonyID=1503&returnIndex=0,Yes,,,
Shoah,1473,31,disc,personal prejudice,religious antisemitism,RK,the children from the school,would always taunt,me and say little ditties which I remember in German that I was not allowed,"And the children from the school would always taunt me and say -- - little ditties, which I remember, in German, and -- that I was not allowed.",Agency_Speculative/Modal,Ruth Keller,https://vhaonline.usc.edu/viewingPage?testimonyID=1503&returnIndex=0,Yes,,,
Shoah,1473,31,disc,personal prejudice,religious antisemitism,RK,They,had convinced,me I had killed Christ,They had convinced me I was not allowed to go through that park because I had killed Christ.,Orientation,Ruth Keller,https://vhaonline.usc.edu/viewingPage?testimonyID=1503&returnIndex=0,Yes,,,
Shoah,1473,31,disc,personal prejudice,religious antisemitism,RK,I,had killed,Jesus,I had killed Jesus.,Orientation,Ruth Keller,https://vhaonline.usc.edu/viewingPage?testimonyID=1503&returnIndex=0,Yes,,,
Shoah,1473,37,disc,discriminatory measures,anti Jewish measures,RK,they,confiscated,Jewish businesses,Because they confiscated Jewish businesses.,Agency_Active,Ruth Keller,https://vhaonline.usc.edu/viewingPage?testimonyID=1503&returnIndex=0,Yes,,,
Shoah,1473,37,disc,discriminatory measures,anti Jewish measures,RK,all Jews,were thrown,out of public school,"Because no Jews -- all Jews were thrown out of public school, and having to go to a Jewish school far away.",Agency_Passive,Ruth Keller,https://vhaonline.usc.edu/viewingPage?testimonyID=1503&returnIndex=0,Yes,,,
